subject,property,current_or_latest,start_time
Lew_Massey,position,,
Jeff_Knuth,party,Pauline Hanson's One Nation,1997
Mercury_Hayes,position,,
Paul_Reynaud,party,National Centre of Independents and Peasants,1949
Thorsten_Ott,position,,
Maxim_Fedin,position,,
Samuel_D._Ingham,party,,
Carl_Wilhelm_Siemens,nationality,,
Paul_Wesley,spouse,,
Nelo_(Portuguese_footballer),position,,
Anatoli_Martynovchenko,position,,
Susantha_Punchinilame,party,,
Kaneung_Buransook,position,,
Alfred_Hickman,spouse,,
Gabriele_Albertini,party,New Centre-Right,2014
William_Switzer,party,,
Khalid_Ibrahim,party,Independent,2014
Marie-Christine_Barrault,spouse,,
Peter_IV_of_Aragon,spouse,,
Ioannis_Kefalogiannis,party,,
Jackson_Hemopo,position,,
Sanibal_Orahovac,position,,
Vitali_Koberskiy,position,,
Nigel_Mobbs,nationality,,
Collin_Samuel,position,,
Julian_Ahmataj,position,,
George_Coe_(Michigan_politician),party,,
Roddy_MacLennan,position,,
Stefano_Hatfield,nationality,,
James_Kennedy_(GC),country,,
Jane_Lahilahi,spouse,,
Aafia_Siddiqui,spouse,,
Tine_Schryvers,position,,
Joshua_Reed_Giddings,party,,
Wu_Zetian,spouse,,
Fiona_Godlee,nationality,,
Jacqueline_Schultz,spouse,,
Sunil_Kumar_Mandal,party,,
Robert_Sempill_the_younger,country,,
Sergio_Mattarella,party,Independent politician,2009
Vladimir_Savdunin,position,,
Dante_Hall,position,,
George_Meniuc,nationality,,
Bill_Atkins_(American_football),position,,
Alexander_Hume,country,,
Christos_Tomaras,position,,
Mitchell_Marner,position,,
John_Harris_(Medal_of_Honor),country,,
Frank_B._Fay,party,,
Gong_Qianyun,country,,
Ian_Smith,party,Rhodesian Front,1962
Gary_Famiglietti,position,,
Bud_Grant,position,,
Josh_Gardner_(soccer),position,,
Nate_Fox,position,,
Philip_Gardiner,party,Independent,2012
Barnaby_Joyce,party,National Party of Australia,1989
Uddhab_Bharali,nationality,,
Thornycroft_family,nationality,,
Shellie_McMillon,position,,
Lee_Seung-woo,position,,
Syaiful_Cahya,position,,
Carman_McClelland,party,Progressive Conservative,2007
Jan_C._Ting,party,Independent,2008
Shawne_Williams,position,,
Anton_Odabasi,nationality,,
James_Richardson_(explorer),nationality,,
Abdou_El-Kholti,position,,
Jean_Peters,spouse,,
Tsai_Hsien-tang,position,,
Rena_Sofer,spouse,,
Robert_Henry_McGregor,party,,
Nehemiah_R._Knight,party,,
Nikos_Chrysogelos,party,Ecologist Greens,2014
Akram_Abdul_Ghanee,position,,
Edgar_Aguilera,position,,
Geoffrey_Harrison,country,,
Andreas_Schwab,party,,
Estelle_Nathan,nationality,,
Anne_Cools,party,Independent Senators Group,2016
John_Churchill_(lawyer),nationality,,
Eduard_Popov,position,,
John_J._Ely,party,,
Angela_Gegg,nationality,,
John_Smith-Burges,nationality,,
Benjamin_F._Newhall,party,,
Rip_Torn,spouse,,
Cesare_Merzagora,party,Italian Liberal Party,1972
Alexis_Loizidis,position,,
David_Maurice__Wales-writer-stub__1,country,,
Shahurain_Abu_Samah,position,,
Jerome_Whitehead,position,,
Nahum_Galmor,nationality,,
Andrew_Findlater,country,,
Matt_Carthy,party,,
Alexander_Livingston_of_Callendar,country,,
Cyrinda_Foxe,spouse,,
Hissa_Abdulla_Ahmed_Al-Otaiba,country,,
Anwar_Ibrahim,party,People's Justice Party (Malaysia),1999
Walter_de_Scauren,nationality,,
Leslie_Pennell,country,,
John_Bracken,party,,
Jacob_Golladay,party,,
Alan_Harding,position,,
Dean_Sensanbaugher,position,,
Pascal_Bedrossian,position,,
Rafael_Banquells,spouse,,
Basil_Sydney,spouse,,
Albert_Lukmanov,position,,
M._Palaniyandi,party,,
