subject,property,current_or_latest,start_time
Michael_Laxer,party,,
Boris_Vieru,party,,
Jack_Lang_(Australian_politician),party,,
Edward_P._Weed,spouse,,
Fran_Jeffries,spouse,Richard_Quine,1965-01-01T00:00:00Z
Toomas_Hendrik_Ilves,party,,
Amos_Coggswell,party,,
David_Lewis_(politician),party,,
Algirdas_Brazauskas,party,,
William_Cabell_Rives,party,,
Kenneth_Morris_(author),country,,
James_Main_Dixon,country,,
Lyle_Oberg,party,,
Vilho_Annala,party,,
William_Craig_(Northern_Ireland_politician),party,,
Tatiana_Samoilova,spouse,Solomon_Efimovich_Shulman,1964-01-01T00:00:00Z
Utako_Wakamatsu,country,,
Horace_Plunkett,party,,
Bertie_Johnston,party,,
Mary_Reid_Macarthur,country,,
Morgan_Llwyd,country,,
Lourdes_Flores,party,,
Guido_Westerwelle,party,Free_Democratic_Party_(Germany),1980-01-01T00:00:00Z
Henner_Henkel,country,,
William_Hebard,party,,
Hugh_Marlowe,spouse,K._T._Stevens,1946-01-01T00:00:00Z
Henry_Cabot_Lodge_Jr.,country,,
Radama_II,spouse,,
Filippo_Maria_Visconti,spouse,,
Tanja_Fajon,party,,
Muhammad_Ismail,party,,
Benjamin_Wade,party,,
Jessie_McTavish,country,,
Robert_Kingston_Scott,country,,
Andrew_Drummond_(author),country,,
Bruno_Mahlow_(son),party,,
John_II_of_Aragon_and_Navarre,spouse,,
Klaas_de_Vries_(Christian_Democratic_Appeal),party,,
Timothy_Daniel_Sullivan,party,,
Michael_Hickford,country,,
George_Forbes_(New_Zealand_politician),party,,
Thomas_de_la_Hay,country,,
Suleiman_the_Magnificent,spouse,,
Claude_Dauphin_(actor),spouse,Norma_Eberhardt,1955-01-01T00:00:00Z
Bill_Malarky,party,,
Lamberto_Dini,party,,
Henry_Pigott,party,,
Aruna_Kumari_Galla,party,,
Richard_Honaker,party,,
Cyrille_Dumaine,party,,
Helen_Zille,party,,
Mark_Eden,spouse,Sue_Nicholls,1993-01-01T00:00:00Z
Jeff_Radebe,party,,
K._Keshava_Rao,party,,
Roger_Knapman,party,,
Mike_Farrell,spouse,Shelley_Fabares,1984-01-01T00:00:00Z
Hubertus_Heil,party,Social_Democratic_Party_of_Germany,1988-01-01T00:00:00Z
Saw_Min_Hla,spouse,,
Ronny_Winkler,country,,
Doris_Day,spouse,Martin_Melcher,1951-04-03T00:00:00Z
Zaid_Ibrahim,party,,
Satendra_Nandan,party,,
Justin_Foxton,party,,
Cezaro_Rossetti,country,,
John_Torry,country,,
Ulysses_S._Grant_presidential_administration_scandals,country,,
Andrew_Brown_(industrialist),country,,
Joseph_Ward,party,,
Robert_Bryan_(poet),country,,
Walter_Broadfoot,party,,
William_Ross_(Canadian_politician),party,,
Sorley_Boy_MacDonnell,spouse,,
James_S._Robinson,country,,
John_Sergeant_(politician),party,,
Tunku_Abdul_Rahman,spouse,,
Stewart_Granger,spouse,Jean_Simmons,1950-12-20T00:00:00Z
Alan_Goodrich_Kirk,country,,
David_Ben-Gurion,party,,
Abner_O._Shaw,country,,
Rehavam_Amir,country,,
Mingyi_Swa,spouse,,
Yukio_Aoshima,party,,
Napoleon_Zervas,party,,
Daniel_Caspary,party,,
Imre_Boros,party,,
John_Holmes_(Maine_politician),party,,
Ilse_Thiele,party,,
Alaa_Hussein_Ali,country,,
Christina_of_Denmark,spouse,,
Lane_Carson,party,,
Tom_Hayden,spouse,Barbara_Williams_(actress),1993-08-08T00:00:00Z
Arthur_Rylah,party,,
Dafydd_Bach_ap_Madog_Wladaidd,country,,
Ekaterina_Atalik,country,,
Christy_Burke,party,,
Regine_Hildebrandt,party,,
Gratton_Wilson,party,,
Choy_Kan-pui,party,,
Yakov_Peters,country,,
Ernest_Carr,party,,
Abderraouf_Ayadi,party,,
William_Watson_(Australian_politician),party,,
Ken_Wahl,spouse,Corinne_Alphen,1984-01-01T00:00:00Z
Gracie_Fields,spouse,,
Robert_White_(ambassador),country,,
Max_Seydewitz,party,,
Vladimir_Konstantinov_(politician),party,,
Ron_Davies_(Welsh_politician),party,,
P._H._McCarthy,party,,
Anil_Bachoo,party,,
Alexander_S._Johnson,party,,
Robert_Viharo,spouse,,
Princess_Lalla_Joumala_Alaoui,country,,
Rachel_Brooks,country,,
Gwyn_Morgan_(writer),country,,
Louise_Harel,party,,
Paige_Davis,spouse,,
David_Rath,party,Czech_Social_Democratic_Party,2006-01-01T00:00:00Z
Lyndon_LaRouche,party,,
Ariel_Sharon,party,,
Juan_Alfredo_Pinto_Saavedra,country,,
Suresh_Mehta,party,,
Natascha_Artin_Brunswick,spouse,Mark_Brunswick,1960-01-01T00:00:00Z
Percy_Abbott_(Australian_politician),party,,
Vidhu_Vinod_Chopra,spouse,,
Jose_Antonio_N._Carrion,party,,
John_Millar_(Canadian_politician),party,,
Tatev_Abrahamyan,country,,
Elizabeth_Cromwell,spouse,,
Corazon_Aquino,party,,
Ray_Hopper,party,,
Xu_Zhimo,spouse,Lu_Xiaoman,1926-01-01T00:00:00Z
Peter_McColl,country,,
Bernard_Giluk_Dompok,party,,
Jean-Pierre_Blackburn,party,,
Floriano_Peixoto,country,,
Joe_Tarnowski,country,,
Douglas_Reid,country,,
Thomas_Ball_(Provost_of_Cumbrae),country,,
