Column1,Column2,Column3
Lewis_Lloyd,college,Drake Bulldogs men's basketball
McCoy_McLemore,college,Drake Bulldogs men's basketball
Red_Murrell_(basketball),college,Drake Bulldogs men's basketball
Willie_Wise,college,Drake Bulldogs men's basketball
Bob_Bender,college,Duke Blue Devils men's basketball
Dahntay_Jones,college,Duke Blue Devils men's basketball
Rodney_Hood,college,Duke Blue Devils men's basketball
Roshown_McLeod,college,Duke Blue Devils men's basketball
Seth_Curry,college,Duke Blue Devils men's basketball
Michele_Van_Gorp,college,Duke Blue Devils women's basketball
Chuck_Cooper_(basketball),college,Duquesne Dukes men's basketball
Ovie_Soko,college,Duquesne Dukes men's basketball
Shawn_James,college,Duquesne Dukes men's basketball
Akeem_Richmond,college,East Carolina Pirates men's basketball
Austin_Steed,college,East Carolina Pirates men's basketball
Blue_Edwards,college,East Carolina Pirates men's basketball
Evaldas_Jocys,college,East Carolina Pirates men's basketball
Jonathan_Kerner,college,East Carolina Pirates men's basketball
Oliver_Mack,college,East Carolina Pirates men's basketball
Justin_Tubbs,college,East Tennessee State Buccaneers basketball
Kevin_Tiggs,college,East Tennessee State Buccaneers basketball
Corey_Walden,college,Eastern Kentucky Colonels basketball
Glenn_Cosey,college,Eastern Kentucky Colonels basketball
Mike_DiNunno,college,Eastern Kentucky Colonels basketball
Papa_Oppong,college,Eastern Kentucky Colonels basketball
Marcus_Kennedy,college,Eastern Michigan Eagles men's basketball
Aaron_Olson,college,Eastern Washington Eagles men's basketball
Adris_Deleon,college,Eastern Washington Eagles men's basketball
Martin_Seiferth,college,Eastern Washington Eagles men's basketball
Shang_Ping,college,Emporia State
Ian_Hanavan,college,Evansville Purple Aces men's basketball
Scott_Haffner,college,Evansville Purple Aces men's basketball
Ajou_Deng,college,Fairfield Stags men's basketball
Rakim_Sanders,college,Fairfield Stags men's basketball
Emmanuel_Ubilla,college,Fairleigh Dickinson Knights men's basketball
Leroy_Loggins,college,Fairmont State University
Tony_Jones_(basketball),college,Fisk University
Alex_Legion,college,FIU Panthers men's basketball
DeJuan_Wright,college,FIU Panthers men's basketball
Terrence_Woods,college,Florida A&M Rattlers basketball
Don_Newman_(basketball),college,Florida Gateway College
Mike_Rosario,college,Florida Gators men's basketball
Vernon_Macklin,college,Florida Gators men's basketball
Aneika_Henry,college,Florida Gators women's basketball
Bridget_Pettis,college,Florida Gators women's basketball
Alex_Galindo,college,Florida International
Ben_Clyde,college,Florida State Seminoles men's basketball
Bernard_James,college,Florida State Seminoles men's basketball
Derwin_Kitchen,college,Florida State Seminoles men's basketball
