subject,property,current_or_latest,start_time
Dolavli_railway_station,owner,,
Vidyavihar_railway_station,owner,,
Ashcott_railway_station,owner,,
Gare_de_Luchon,owner,,
Lougheed_Town_Centre_station,owner,,
Sharnal_Street_railway_station,owner,,
Ayodhya_Junction_railway_station,owner,,
Walsingham_railway_station,owner,,
Sheepbridge_and_Brimington_railway_station,owner,,
Callicoon_Bridge,owner,,
Wolferton_railway_station,owner,,
Gare_de_Saint-Gaudens,owner,,
Hindaun_City_railway_station,owner,,
Gare_de_Maurois,owner,,
Port_Jervis_Line,owner,,
Delhi_Airport_Metro_Express,owner,,
Desert_Sunlight_Solar_Farm,owner,,
Umroli_railway_station,owner,,
Gare_de_Villers-Bretonneux,owner,,
Oakbrook_Center,owner,,
Ardingly_railway_station,owner,,
Rocky_Mountain_Hydroelectric_Plant,owner,,
Kelve_Road_railway_station,owner,,
Vogtle_Electric_Generating_Plant,owner,,
Mount_Royal_Arena,owner,,
Tinnoset_Station,owner,,
Triton_Knoll,owner,,
Denton_Halt_railway_station,owner,,
Wells_(Tucker_Street)_railway_station,owner,,
Pusat_Bandar_Puchong_LRT_Station,owner,,
City_Football_Academy_(Melbourne),owner,,
Sunnyvale_Railway_Station,owner,,
West_End_Park_(Houston),owner,Houston_Independent_School_District,1928-01-01T00:00:00Z
Westfield_Stratford_City,owner,,
Thane_railway_station,owner,,
Renfrew_station,owner,,
Khopoli_railway_station,owner,,
Vithalwadi_railway_station,owner,,
High_Halstow_Halt_railway_station,owner,,
Fairmount_and_Veblen_Railway,owner,,
Shepton_Mallet_(High_Street)_railway_station,owner,,
Ingestre_Hall,owner,,
Glen_Eden_Railway_Station,owner,,
Buffalo_Stadium,owner,Anheuser-Busch,1953-01-01T00:00:00Z
Baldwin_Avenue_Railway_Station,owner,,
Great_Ponton_railway_station,owner,,
Bank_Rakyat-Bangsar_LRT_Station,owner,,
Arc_de_Triomf_station,owner,,
Wimco_Nagar_railway_station,owner,,
Rochester_Castle,owner,,
